Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11,0.668201253,0.953605872,-0.116745012,-1.030719606,-2.573095429,0.892330661,4.476635014,-1.864707023,0.869946479,-0.571776253,3.511385882,-2.832255487,0.634910327,-1.843617733,-2.838091232,2.170960707,1.291646782,-0.124022948,-2.749858581,2.136365951,2.116645216,-2.123383756,-0.204766486,0.896029815,-0.856396881,3.961011306,-0.85898561,-1.163769822,2.03990522,0.224244644,1.608989442,0.312268971,2.183512894,2.866534666,-5.208914357,-2.571954241,-2.984185613,-0.259726296,-1.708570686,-0.772708837,2.000653571,-0.271378896,-0.516877642,3.290970387,-0.660789155,-0.691546475,-0.11437356,-6.838340564,0.666572082,2.310683375,-0.754258731,14.63220496,3.455883783,2.177613399,2.590095214,0.318504536,-2.154403569,3.269511613,-1.307957521,2.709176553,-0.13181359,0.279802835,1.134879428,2.459708624,1.187483038,2.577923992,0.630256132,4.020829545,2.287702041,5.3500027,1.029604751,-1.590344189,2.979169334,1.968724107,2.973193526,3.197880611,1.674395711,0.725593531,2.288106059,1.738913776,2.488417575,3.640695008,5.293503525,3.335404367,2.020315968,-1.195368451,3.410134953,2.057016598,0.020303119,-0.588272999,-2.561549631,-0.655842922,-4.465467144,0.434911998,0.495173752,-7.307749986
12,-0.06454311,-0.296607833,1.880103154,1.357346213,-0.61758568,1.10896568,5.513931794,-0.91737665,2.520576566,5.385674474,-0.916986036,2.898671757,0.094287707,-1.630310551,-3.73059758,0.523321687,3.258732778,-1.259903849,1.25697189,-0.590476206,-3.050710402,0.001641381,1.084297953,2.26203289,0.60647114,-0.671225507,4.361257814,0.082347605,0.825333186,4.129878311,4.99991578,0.403077125,0.843290149,1.547524937,4.419727497,0.002014887,-0.656326131,-1.083348143,1.104835549,-1.239745579,2.421498072,0.837992815,2.429758366,1.787992296,-1.272265923,-1.476471383,-0.7567813,-0.691183325,2.748056717,1.114168065,5.984004781,3.085028122,0.213949734,4.529312156,3.251471655,1.253277017,3.577905853,-1.487071328,1.243650495,1.727724099,3.692604327,1.989657831,3.202959751,3.387549756,1.238383035,1.853149426,1.224360156,0.803907029,1.800099573,0.496441193,3.036993525,0.453207683,-0.939222526,1.948757002,1.633713229,1.684445098,0.940837405,2.837897853,4.033826485,2.82826695,1.432707055,-2.915290957,0.560515317,4.683514516,-1.477043995,-0.337939661,-2.235129668,0.806485672,-0.057731954,-0.849148911,1.110952347,2.674837966,0.487492153,1.522299673,2.492557852,-4.273952173
13,-0.267886734,1.887636546,5.648100824,1.488967759,2.610665767,3.018402561,-2.251096264,1.920936246,2.399760441,2.026597984,-2.991138736,2.610449739,0.872422232,2.377382601,1.432408536,1.465222304,-1.272553688,2.161619293,-1.279767928,-0.228732683,-1.308510715,2.650861934,2.152449856,-2.126334925,-0.376243428,0.44354895,1.245977435,0.731717413,0.727983288,-0.543175127,-0.87285439,2.760469587,3.366230575,-2.672910988,2.161142534,1.687034865,-0.192699173,1.729391994,3.023507693,-1.084780866,0.530447836,-0.981539509,0.89131067,-0.868694811,3.595415774,-3.721676388,-0.941413353,5.397564187,0.438373469,2.536541583,-0.154050351,18.5422034,-4.888434669,2.592131528,0.935545675,2.287488722,1.538919191,4.454342809,-2.054694457,0.683056308,1.191277405,0.861450366,2.554855734,0.341312132,2.386929438,0.716834277,3.417064471,2.782448988,1.484864789,-1.063426857,1.47162806,4.935924739,0.074072582,0.321189643,-4.480881661,3.569718827,2.221430116,0.602531964,1.869649418,2.481874513,1.270686051,3.017104389,1.449381562,1.158262896,0.198290229,2.177134369,1.988848947,2.764280443,0.643546833,5.604239262,-0.890997227,-0.570650268,-0.587694383,-0.363875766,-0.580858983,-1.011963422
14,-0.192387331,-1.711665969,-4.633538478,0.465941871,1.465909478,2.510680702,-1.464376695,3.91100468,-3.348407638,2.143139489,4.908256889,0.738452515,0.258909398,-0.77221155,2.089509164,1.991404051,-1.600616523,1.477753419,2.043613206,-2.355587874,2.443166378,0.720809556,2.480881383,1.975333087,4.284444959,6.578482927,-0.20514167,-0.56898168,3.99834657,0.211483998,-0.486798539,-3.042425717,-0.019661288,2.821359243,4.30399522,0.898689427,-1.969512523,0.764107721,0.604033539,0.349034857,3.678945908,3.262524066,1.314934825,-2.089734799,-0.223871261,1.529335174,-0.571813017,-3.357757848,4.696555714,4.514182052,-0.180143215,-3.06225242,2.085227403,-0.298905026,-0.824364731,0.443380262,-2.876894509,3.332986224,-1.368015135,-0.265773217,-1.921819036,3.827801339,2.622809745,-0.875976117,4.136571937,2.860699492,2.223462854,-3.645923518,4.323861601,2.705484946,-3.321496795,-0.462706034,3.977699103,-2.149001925,2.287019049,1.058565612,-0.98786294,5.687761023,1.612319905,2.32135534,1.512835195,0.109039187,-3.966359891,-4.34751333,2.779686323,-0.500385241,1.958095351,1.392150676,3.630875479,-1.955774185,-0.541837323,-1.369573863,1.699271837,5.413189478,-5.87901042,-0.62963298
15,-2.673301351,1.423638803,-1.11652616,4.779124536,0.864523276,-0.258628335,3.651905389,-4.094228091,-1.484691588,2.486985308,-2.812573283,1.165670972,1.626874756,-0.648705662,4.655624874,-1.376559886,2.298955721,-0.655835371,-2.332582391,-1.386425889,3.790969525,2.413754632,2.733983411,0.741220507,1.497144011,-4.873920706,-2.147666776,0.007962528,-3.521489965,1.128541546,1.830043302,0.897426982,-0.176862295,2.536519034,2.531916647,4.460320159,-1.626114241,2.283868134,-0.177409754,3.846715651,2.850354311,1.859474587,-0.540988343,3.189464744,-1.1219309,3.600281317,1.483096164,0.279984874,1.085726035,2.763851003,3.537026799,-3.379981851,3.514172029,6.601945564,2.880092895,1.390308572,2.406706199,4.346701169,1.834690578,1.645718931,0.519129798,-1.864135235,1.418349597,1.828266494,1.587467115,-0.700187089,0.97080808,-0.155465736,-1.335507173,3.303868519,-0.121810631,-1.312633781,-2.817363837,0.196221164,0.449502148,-1.002676951,-1.727010524,-2.643034064,2.556652058,-2.184464064,3.960500384,-2.754812036,1.405324808,3.235378865,-2.346319642,0.48637956,-1.483766115,-1.950082726,-0.469599907,-1.591516426,1.861499856,1.026665405,2.001140997,-2.472529436,2.252317672,-1.358626336
16,2.131263358,-0.01654886,1.691370156,0.914088315,-2.241833566,3.015082278,2.497495979,2.377392244,2.65517733,1.629879077,3.004942277,-3.212767333,3.140352597,1.027691391,1.651033026,0.382121624,3.054677813,1.195314096,2.820214828,-0.300062614,1.61179667,-2.927769767,1.775809474,0.414612523,0.018028725,3.706058548,-0.53382449,4.233205109,0.30595453,-0.581091681,3.809065088,4.180211805,1.845291983,3.451693317,2.327124967,-1.472012423,4.484464873,0.168852555,1.254077756,0.791275898,2.192910892,3.220459509,1.498365078,2.27393711,2.602071103,-0.919176,1.968329998,2.149238335,-0.041643998,1.523391425,-0.438126385,-22.67969665,0.245047329,2.387123482,2.012359164,4.985025785,3.0788838,2.547537982,3.287758505,1.59672138,3.386140731,2.374939607,2.115611913,3.481831968,3.300147256,1.462831469,3.558911212,4.863815366,0.774372417,0.502990985,-0.505805454,-1.54217916,-0.746964688,1.056814262,0.919700778,0.385063405,1.30404532,3.693289037,-3.389366776,1.121610961,0.472241388,-1.880164006,-1.774105649,0.928624905,1.23218055,1.234150864,-0.381428819,-2.376394023,2.380801528,0.324444031,3.640625788,2.623032104,4.25925472,2.719765373,3.20014876,1.699314111
17,-1.471640528,4.329908481,-0.694258146,0.512501512,5.233082075,3.748499274,0.327888274,4.912135489,1.767475853,3.186287813,0.626410254,6.873004271,-1.744560049,1.946670626,1.304152307,-2.126535754,1.105490977,0.495511674,3.522596519,3.66036524,-3.613176275,1.948171243,1.247633547,1.63262621,0.930092172,1.70501562,-2.281124022,2.329676869,2.32108151,0.72154781,3.370410404,0.321049725,1.767966781,-0.540340554,5.283386103,4.754740244,3.118124503,1.223016578,2.2269082,6.224010369,1.701799006,3.368635913,4.585215191,-1.319622761,4.813383524,0.508266615,2.219868906,5.854966989,4.157447268,4.798921414,5.440998325,22.49782895,0.392565807,1.179631667,7.461563497,0.977842994,0.172285488,5.330996627,-3.141797071,1.466230104,0.772027664,3.045611266,2.842861276,1.716504931,1.413117493,1.168154374,-1.214596704,2.730852307,0.663605659,0.726461041,2.763427228,-0.26811482,2.217473211,1.228865385,-2.138916025,2.246094854,0.31273733,-0.578164249,1.863536578,1.611263555,-1.25354289,-0.481997765,-2.474983901,5.089611887,-1.704853102,2.83989529,0.741402073,2.737986425,-0.115879997,0.755230336,1.540616921,5.024436224,3.992441239,11.31904221,12.5997241,12.86659215
18,2.015946931,3.108198661,5.262453436,-0.145032493,3.609819754,3.869669621,2.682022748,3.126981767,5.333441488,-0.717040114,3.003189116,0.437813518,1.874458591,0.779757318,0.487230184,-0.936089156,-1.591706867,3.136648362,3.893175548,-0.24934763,5.171377854,1.864194202,0.790264996,4.49174753,2.069660768,0.272372688,2.313921304,2.735080946,-0.932471268,1.850204416,-0.835468489,2.300211461,3.392368003,4.793870748,-1.197272534,-2.371487848,-0.833988136,3.525659994,5.609527808,1.455991552,4.322837007,-0.732998579,-0.853730808,0.623051355,4.181173594,2.203702022,5.24240462,0.009854417,0.67756551,2.042637904,-0.059496935,-5.476717903,0.25632243,1.5199372,0.321213195,3.508896024,-0.249291719,-0.334964896,4.631296015,0.206972942,0.898235912,3.61869672,-3.054693725,0.120167477,2.425974735,0.03670605,4.087156909,-2.581758775,4.310695314,1.846498815,-0.419100864,0.155135972,-1.758431655,-2.558574599,-0.352532727,-0.703024553,0.000997773,1.406208405,-3.902065266,-2.877371119,0.157436434,0.285459483,-3.435250962,-3.276928374,-0.805625611,0.586609658,0.986774824,5.72811393,5.462701603,3.642152924,15.46136386,15.66695487,9.744909435,28.42478085,21.04356496,17.15270793
19,-3.130139158,5.382316708,1.482084001,1.58739002,-1.292087421,-1.963182207,2.180279701,0.176738971,0.421906261,1.552587703,1.635327535,3.720244785,6.519327576,1.922844408,1.563376788,-2.8812581,1.12162578,1.084544071,-0.180988154,2.243717112,1.143082243,2.032957183,4.514569482,-0.901379198,4.025042922,2.618005206,-0.171800469,0.102595138,3.295224872,-1.916992595,4.592915131,1.316793789,3.058054076,1.858780329,0.978323028,-0.560461455,4.847909727,0.759259161,5.904486241,-0.213141445,2.446753646,2.130191051,0.941253616,1.666401187,2.959047671,-0.164068164,3.635887374,0.880812146,1.77352583,1.039731594,5.164028586,-5.972976542,1.490900037,2.359968712,1.84617291,5.193048869,2.601213096,3.128672087,4.3932058,2.582168375,1.842610507,-0.528748013,0.128470491,1.510362548,1.872609534,0.977135084,-2.358547322,3.260374585,-1.111960888,3.395137004,-7.415424216,1.66008602,0.927148934,0.252450911,1.540391661,0.514583021,0.507334207,-2.770182757,-1.601518707,2.645789546,0.52956331,-3.207775757,-4.847865166,-4.299976206,4.012402553,6.517574223,3.430217383,10.70551696,12.1921847,11.85977978,27.63247203,31.29810637,27.51644694,51.10755929,50.90292598,44.95963922
20,4.04127837,2.456778465,1.79366219,-3.620888186,0.367675246,2.698698106,5.785088118,1.161938833,0.921328416,1.698379037,1.814782925,-0.55290232,-0.325338473,1.004583492,1.807563835,1.411926282,3.42420931,5.865833944,1.399359178,0.876872754,5.024854161,-0.862376155,0.184297672,4.148459775,2.26368544,-0.344996571,1.737767642,1.967704963,4.491035879,2.901421161,0.865484474,3.664216734,-2.205703233,3.695510527,3.308132759,2.307573977,-0.614547693,4.194901324,-2.011947781,4.962482367,-0.174507112,4.015447973,4.230140943,3.113905303,5.912217703,2.754954607,-1.320394471,-1.109065927,1.216799041,1.562468496,1.637195141,10.76815382,4.005908724,0.047657521,1.821597186,0.69185204,6.475976781,2.648500086,-0.045563218,-2.198025199,-0.057776767,-1.268873968,2.883313991,-0.018146409,-0.436077386,4.901546489,3.693179759,2.575388593,-2.344012609,-1.966507091,-1.303487653,-1.507297403,2.859968737,1.261303913,1.068521051,0.522026008,0.155277723,0.105064292,1.097250061,-2.138592055,-4.192291803,2.217498681,-2.716328882,0.039407932,7.820493193,12.50734312,12.66772606,27.04412277,26.12561898,28.48584034,55.49770805,59.08553078,55.09697196,120.9792266,100.1348215,98.03558742
